ANNEE,MOIS,LIB_MOIS,TRIMESTRE,DATE_MOIS,MONTANT_TOTAL,NB_PLACEMENTS,TAUX_MOYEN,DUREE_MOYENNE
2023,2,F�vrier,1,2/1/2023,1300000000,7,8.817142857,945
2023,3,Mars,1,3/1/2023,200000000,1,9.02,728
2023,4,Avril,2,4/1/2023,450000000,3,8.55,730
2023,5,Mai,2,5/1/2023,810000000,6,8.718333333,851
2023,6,Juin,2,6/1/2023,14810000000,5,9.952,910
2023,7,Juillet,3,7/1/2023,7039000000,10,9.58,1200
2023,8,Ao�t,3,8/1/2023,4057500000,17,9.070588235,1033
2023,9,Septembre,3,9/1/2023,5620000000,4,9.4,1284
2023,10,Octobre,4,10/1/2023,4618251000,8,9.43125,891
2023,11,Novembre,4,11/1/2023,550000000,4,8.995,1231
2023,12,D�cembre,4,12/1/2023,4046000000,6,8.906666667,730
2024,1,Janvier,1,1/1/2024,4988000000,23,8.777826087,933
2024,2,F�vrier,1,2/1/2024,7360000000,38,8.676842105,441
2024,3,Mars,1,3/1/2024,18393800000,50,9.228,444
2024,4,Avril,2,4/1/2024,23427600000,47,9.075319149,368
2024,5,Mai,2,5/1/2024,87845500000,48,8.953333333,423
2024,6,Juin,2,6/1/2024,28778933000,65,8.981384615,406
2024,7,Juillet,3,7/1/2024,27180030800,63,8.953650794,401
2024,8,Ao�t,3,8/1/2024,25509134480,97,8.795360825,332
2024,9,Septembre,3,9/1/2024,28055343920,90,8.853888889,291
2024,10,Octobre,4,10/1/2024,48209000000,119,8.97605042,289
2024,11,Novembre,4,11/1/2024,55300137400,116,8.737672414,275
2024,12,D�cembre,4,12/1/2024,81248356447,121,8.889752066,253
2025,1,Janvier,1,1/1/2025,1.40669E+11,255,8.575647059,208
2025,2,F�vrier,1,2/1/2025,22942067770,59,8.436440678,256
2025,3,Mars,1,3/1/2025,25424000000,44,8.751363636,427
2025,4,Avril,2,4/1/2025,8260206041,43,8.302790698,429
2025,5,Mai,2,5/1/2025,6456000000,37,7.854324324,384
2025,6,Juin,2,6/1/2025,7825343000,27,7.996296296,376
2025,7,Juillet,3,7/1/2025,8688500000,41,7.931707317,484
2025,8,Ao�t,3,8/1/2025,11536050204,74,8.05472973,386
2025,9,Septembre,3,9/1/2025,25261831600,79,8.194303797,314
2025,10,Octobre,4,10/1/2025,70563000000,103,8.334271845,273
2025,11,Novembre,4,11/1/2025,47877141576,102,8.19372549,275
2025,12,D�cembre,4,12/1/2025,1.42155E+11,158,8.305189873,241
